NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 마포구 상수동,402,402,0,래미안밤섬리베뉴Ⅰ,전세,125.31,202509,26,"130,000",0,7,2014,독막로20나길 22,202510~202710,갱신,사용,"125,000",0,아파트
2,서울특별시 마포구 성산동,446,446,0,성산시영(대우),전세,50.03,202509,26,"28,300",0,8,1986,월드컵북로 235,202510~202710,갱신,사용,"27,000",0,아파트
3,서울특별시 마포구 아현동,777,777,0,마포래미안푸르지오1단지,월세,59.9236,202509,26,0,200,6,2014,마포대로 195,202510~202610,신규,-,,,아파트
4,서울특별시 마포구 신공덕동,172,172,0,펜트라우스,월세,115.04,202509,26,"60,000",166,16,2011,백범로 205,202510~202710,갱신,사용,"60,000",166,아파트
5,서울특별시 마포구 망원동,513,513,0,상암마젤란21,전세,55.85,202509,26,"42,000",0,4,2005,방울내로11길 43,202509~202709,갱신,사용,"40,000",0,아파트
6,서울특별시 마포구 망원동,513,513,0,상암마젤란21,전세,55.85,202509,26,"42,000",0,4,2005,방울내로11길 43,202509~202709,갱신,사용,"40,000",0,아파트
7,서울특별시 마포구 상암동,1660,1660,0,상암월드컵파크7단지,전세,84.74,202509,26,"72,000",0,12,2005,상암산로1길 92,202511~202711,신규,-,,,아파트
8,서울특별시 마포구 상암동,1637,1637,0,상암월드컵파크2단지,월세,49.9,202509,26,"30,000",33,17,2003,월드컵북로47길 46,202510~202710,갱신,사용,"30,000",27,아파트
9,서울특별시 마포구 상암동,1634,1634,0,상암월드컵파크1단지,월세,49.53,202509,25,"4,050",19,6,2003,월드컵북로47길 8,202510~202709,-,-,,,아파트
10,서울특별시 마포구 상암동,1736,1736,0,상암월드컵파크10단지,전세,84.89,202509,25,"25,543",0,6,2010,월드컵북로 502-36,202510~202709,-,-,,,아파트
11,서울특별시 마포구 대흥동,804,804,0,마포자이2차,월세,84.95,202509,25,"30,000",236,14,2014,서강대길 40,202511~202611,갱신,사용,"30,000",220,아파트
12,서울특별시 마포구 아현동,777,777,0,마포래미안푸르지오2단지,전세,59.9656,202509,25,"80,000",0,13,2014,마포대로 195,202509~202709,신규,-,,,아파트
13,서울특별시 마포구 아현동,777,777,0,마포래미안푸르지오4단지,월세,84.3884,202509,25,"75,000",68,25,2014,마포대로 195,202510~202710,갱신,사용,"75,000",55,아파트
